user_name,repo_name,stars,watchers,forks,commits_no,contributors_no,size_kb,github_id
ObaidaNa,albaath-marks,0,1,0,5,1,630,ObaidaNa/albaath-marks
ja153903,jabbariao-dotcom-api,0,1,0,16,1,36,ja153903/jabbariao-dotcom-api
paulkeysdev,AirBnB_clone,0,1,0,1,0,49,paulkeysdev/AirBnB_clone
evandrogouveia,api-camara,0,1,0,68,1,3545,evandrogouveia/api-camara
FelipeCastro2021,Portfolio_FelipeCastro2022,0,1,0,20,1,2384,FelipeCastro2021/Portfolio_FelipeCastro2022
pfernandom,blog,0,2,0,92,1,110605,pfernandom/blog
DalhousieAI,pytorch-logit-logic,0,2,0,11,1,1714,DalhousieAI/pytorch-logit-logic
E-Shop-FR,E-bot,0,0,0,122,3,89,E-Shop-FR/E-bot
jveinti2,my-store-angular,0,1,0,3,0,204,jveinti2/my-store-angular
svanmeter93,Book-Search-Engine,0,1,0,0,0,0,svanmeter93/Book-Search-Engine
MissMunawwarah,alx-low_level_programming,0,1,0,351,1,283,MissMunawwarah/alx-low_level_programming
JettChris,js,0,1,0,4,1,2,JettChris/js
hlavrencic,CourseraReact,0,2,0,5,1,406,hlavrencic/CourseraReact
wstivenarango,Volcan-Multi,0,1,0,0,0,0,wstivenarango/Volcan-Multi
ABAYA12,first_webpage,0,1,0,13,1,7,ABAYA12/first_webpage
AmorSincere,mylio,0,1,0,2,1,7099,AmorSincere/mylio
rutgers,IGVC21-22,0,5,1,28,2,950,rutgers/IGVC21-22
mayconrralves,Deep-learning-Course-projects-Udacty,0,1,0,2,1,7575,mayconrralves/Deep-learning-Course-projects-Udacty
shiv079,Hotstar-clone-,0,1,0,0,0,0,shiv079/Hotstar-clone-
pangkyu,shoplive-frontend-task1,0,1,0,34,1,2327,pangkyu/shoplive-frontend-task1
syun0216,goforeat,100,6,31,1011,2,240094,syun0216/goforeat
drone,awesome-drone,100,10,17,22,7,17,drone/awesome-drone
matteobortolazzo,couchdb-net,100,13,30,523,11,1547,matteobortolazzo/couchdb-net
lukaslueg,railroad,100,5,3,36,2,289,lukaslueg/railroad
z4yx,petalinux-docker,100,7,58,27,5,18,z4yx/petalinux-docker
