,github_user_cleaned_url,archived,created_at,has_wiki,has_pages,license,readme_size,readme_path,readme_emojis,contributing_size,citation_added,contributing_added,repo_created_at,week_since_repo_creation_citation_added,week_since_repo_creation_contributing_added,license_type,readme_size_class,forks_count,stars_count,max_active_contributors
0,JZhao12/CVML-Pose,False,2023-02-10 01:03:13+00:00,True,False,apache-2.0,8539.0,README.md,0.0,0.0,,,2023-02-10 01:03:13+00:00,,,permissive,informative,0,0,1.0
1,CVML-UCLan/FCBFormer,False,2022-08-08 16:07:28+00:00,True,False,None,541.0,README.md,0.0,0.0,,,2022-08-08 16:07:28+00:00,,,None,short,0,3,1.0
2,eprintsug/loginViaOrcid,False,2016-08-23 17:36:27+00:00,True,False,None,68.0,README.md,0.0,0.0,,,2016-08-23 17:36:27+00:00,,,None,ultra-short,0,0,1.0
3,eprintsug/orcidt2,False,2014-12-16 11:13:16+00:00,True,False,None,1157.0,README.md,0.0,0.0,,,2014-12-16 11:13:16+00:00,,,None,short,1,2,1.0
4,alphapsa/PIPE,False,2021-03-09 00:26:48+00:00,True,False,None,3182.0,README.rst,0.0,0.0,,,2021-03-09 00:26:48+00:00,,,None,informative,1,8,2.0
5,SamirNepal/Li_CNN_2022,False,2022-12-26 12:57:36+00:00,True,False,mit,529.0,README.md,0.0,0.0,,,2022-12-26 12:57:36+00:00,,,permissive,short,0,1,1.0
6,jlillo/tpfplotter,False,2020-02-02 21:31:02+00:00,True,False,mit,4423.0,README.md,0.0,0.0,,,2020-02-02 21:31:02+00:00,,,permissive,informative,10,22,2.0
7,brunomozza/IoTSecurityOntology,False,2015-06-20 18:16:20+00:00,True,False,None,209.0,README.md,0.0,0.0,,,2015-06-20 18:16:20+00:00,,,None,ultra-short,3,1,1.0
8,Katerina-Pap/MA-cont-shiny-app,False,2021-03-09 16:35:03+00:00,True,False,None,182.0,README.md,0.0,0.0,,,2021-03-09 16:35:03+00:00,,,None,ultra-short,0,1,1.0
9,survival-lumc/ValidationCompRisks,False,2021-02-17 09:12:11+00:00,True,False,gpl-3.0,3667.0,README.md,0.0,0.0,,,2021-02-17 09:12:11+00:00,,,permissive,informative,11,17,2.0
10,lucaborsato/trades,False,2014-07-10 12:23:27+00:00,True,False,None,2140.0,README.md,0.0,0.0,,,2014-07-10 12:23:27+00:00,,,None,informative,1,8,1.0
11,lphowell/Geothermal-Modelling,False,2020-05-19 09:48:31+00:00,True,False,None,331.0,README.md,0.0,0.0,,,2020-05-19 09:48:31+00:00,,,None,short,4,1,1.0
12,epsilonlabs/emf-cbp,False,2016-10-20 13:10:54+00:00,True,False,other,39.0,README.md,0.0,0.0,,,2016-10-20 13:10:54+00:00,,,unknown,ultra-short,0,4,2.0
13,s-goldman/Dusty-Evolved-Star-Kit,False,2018-05-14 18:40:23+00:00,False,False,other,6066.0,README.md,0.0,0.0,,,2018-05-14 18:40:23+00:00,,,unknown,informative,2,13,2.0
14,rOpenHealth/ClinicalCodes,False,2013-11-01 10:33:27+00:00,True,False,None,2182.0,README.md,0.0,0.0,,,2013-11-01 10:33:27+00:00,,,None,informative,4,17,1.0
15,sanket0707/GNN-Mixer,False,2023-03-21 01:05:23+00:00,True,False,None,1653.0,README.md,0.0,0.0,,,2023-03-21 01:05:23+00:00,,,None,informative,0,0,1.0
16,NabajeetBarman/GamingHDRVideoSET,False,2021-01-26 10:06:22+00:00,True,False,None,2446.0,README.md,0.0,0.0,,,2021-01-26 10:06:22+00:00,,,None,informative,0,1,1.0
17,stootaghaj/DEMI,False,2020-08-10 11:25:49+00:00,True,False,None,4329.0,README.md,0.0,0.0,,,2020-08-10 11:25:49+00:00,,,None,informative,2,1,1.0
18,ok1zjf/lbae,False,2020-06-05 22:03:28+00:00,True,False,mit,8745.0,README.md,0.0,0.0,,,2020-06-05 22:03:28+00:00,,,permissive,informative,2,18,1.0
19,IraKorshunova/folk-rnn,False,2015-10-05 15:51:29+00:00,True,False,,,,,,,,,,,,,64,324,2.0
20,cs-chan/Deep-Plant,False,2017-04-24 04:20:36+00:00,True,False,bsd-3-clause,1923.0,README.md,0.0,0.0,,,2017-04-24 04:20:36+00:00,,,permissive,informative,27,83,2.0
21,rii-mango/Papaya,False,2012-06-17 22:20:58+00:00,True,True,other,3774.0,README.md,0.0,0.0,,,2012-06-17 22:20:58+00:00,,,unknown,informative,195,490,4.0
22,tstafylakis/Lipreading-ResNet,False,2017-08-19 16:18:37+00:00,True,False,other,4978.0,README.md,0.0,0.0,,,2017-08-19 16:18:37+00:00,,,unknown,informative,15,94,1.0
