repo_url,number_of_files,number_of_pdfs,github_links,pattern_cleaned_links,unique_github_links
clok.uclan.ac.uk,98206,23966,107,107,96
eprints.glos.ac.uk,31842,7751,28,28,27
eprints.keele.ac.uk,58095,8852,257,257,197
eprints.kingston.ac.uk,36071,6326,52,52,43
eprints.lincoln.ac.uk,84336,13278,228,228,191
eprints.nottingham.ac.uk,107501,21615,131,131,129
eprints.soton.ac.uk,7317,6488,148,148,140
eprints.worc.ac.uk,22062,3569,26,26,21
irep.ntu.ac.uk,74071,12180,173,173,148
openaccess.city.ac.uk,127146,38083,361,361,292
publications.aston.ac.uk,51830,12071,230,230,199
ray.yorksj.ac.uk,18951,4789,11,11,11
repository.falmouth.ac.uk,16958,1442,22,22,13
researchonline.ljmu.ac.uk,81066,25444,477,477,348
researchspace.bathspa.ac.uk,13657,1679,15,15,15
shura.shu.ac.uk,93101,24069,125,125,105
,,,2391,2391,1975
