title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Digital twins in cyber effects modelling of IoT/CPS points of low resilience,G Epiphaniou,https://eprints.keele.ac.uk/id/eprint/12119/1/1-s2.0-S1569190X23000229-main.pdf,11,https://github.com/osqzss/gps-sdr-sim,github.com/osqzss/gps-sdr-sim,osqzss/gps-sdr-sim
Digital twins in cyber effects modelling of IoT/CPS points of low resilience,G Epiphaniou,https://eprints.keele.ac.uk/id/eprint/12119/1/1-s2.0-S1569190X23000229-main.pdf,12,https://github.com/pothosware/PothosCore/wiki/Downloadswindows-installer,github.com/pothosware/PothosCore,pothosware/PothosCore
Low sulfated heparan sulfate mimetic differentially affects repair in immune-mediated and toxin-induced experimental models of demyelination.,SL Lindsay,https://eprints.keele.ac.uk/id/eprint/12289/1/Glia%20-%202023%20-%20Lindsay%20-%20Low%20sulfated%20heparan%20sulfate%20mimetic%20differentially%20affects%20repair%20in%20immune%E2%80%90mediated%20and.pdf,4,https://github.com/muecs/cp.,github.com/muecs/cp,muecs/cp
Glancing through the debris disk: Photometric analysis of DE Boo with CHEOPS,Á Boldog,https://eprints.keele.ac.uk/id/eprint/12066/1/2302.02710v1.pdf,1,https://github.com/alphapsa/PIPE,github.com/alphapsa/PIPE,alphapsa/PIPE
Tidally perturbed gravity-mode pulsations in a sample of close eclipsing binaries,T Van Reeth,https://eprints.keele.ac.uk/id/eprint/12080/1/aa45460-22.pdf,19,https://github.com/TVanReeth/tidal-perturbation-simulations.,github.com/TVanReeth/tidal-perturbation-simulations,TVanReeth/tidal-perturbation-simulations
Validation of Recombinant Heparan Sulphate Reagents for CNS Repair.,SL Lindsay,https://eprints.keele.ac.uk/id/eprint/12550/1/Validation%20of%20Recombinant%20Heparan%20Sulphate%20Reagents%20for%20CNS%20Repair.pdf,4,https://github.com/muecs/cp,github.com/muecs/cp,muecs/cp
H I filaments as potential compass needles? Comparing the magnetic field structure of the Small Magellanic Cloud to the orientation of GASKAP-H I filaments,YK Ma,https://eprints.keele.ac.uk/id/eprint/12174/1/H%20i%20filaments.pdf,2,https://github.com/seclark/RHT,github.com/seclark/RHT,seclark/RHT
TOI-4562b: A Highly Eccentric Temperate Jupiter Analog Orbiting a Young Field Star,A Heitzmann,https://eprints.keele.ac.uk/id/eprint/12197/1/Heitzmann_2023_AJ_165_121.pdf,14,"https://github.com/pbrus/unredden-stars),",github.com/pbrus/unredden-stars,pbrus/unredden-stars
TOI-4562b: A Highly Eccentric Temperate Jupiter Analog Orbiting a Young Field Star,A Heitzmann,https://eprints.keele.ac.uk/id/eprint/12197/1/Heitzmann_2023_AJ_165_121.pdf,15,https://github.com/sczesla/PyAstronomy,github.com/sczesla/PyAstronomy,sczesla/PyAstronomy
The TESS Grand Unified Hot Jupiter Survey. II. Twenty New Giant Planets*,SW Yee,https://eprints.keele.ac.uk/id/eprint/12196/1/Yee_2023_ApJS_265_1.pdf,3,https://github.com/avanderburg/keplersplinev2,github.com/avanderburg/keplersplinev,avanderburg/keplersplinev2
The TESS Grand Unified Hot Jupiter Survey. II. Twenty New Giant Planets*,SW Yee,https://eprints.keele.ac.uk/id/eprint/12196/1/Yee_2023_ApJS_265_1.pdf,6,https://github.com/arjunsavel/SImMER,github.com/arjunsavel/SImMER,arjunsavel/SImMER
The TESS Grand Unified Hot Jupiter Survey. II. Twenty New Giant Planets*,SW Yee,https://eprints.keele.ac.uk/id/eprint/12196/1/Yee_2023_ApJS_265_1.pdf,11,https://github.com/samuelyeewl/specmatch-emp,github.com/samuelyeewl/specmatch-emp,samuelyeewl/specmatch-emp
The TESS Grand Unified Hot Jupiter Survey. II. Twenty New Giant Planets*,SW Yee,https://eprints.keele.ac.uk/id/eprint/12196/1/Yee_2023_ApJS_265_1.pdf,11,https://github.com/petigura/specmatch-syn,github.com/petigura/specmatch-syn,petigura/specmatch-syn
The Gaia-ESO Survey: Preparing the ground for 4MOST and WEAVE galactic surveys Chemical evolution of lithium with machine learning,S Nepal,https://eprints.keele.ac.uk/id/eprint/11435/7/aa44765-22.pdf,0,https://github.com/SamirNepal/Li_CNN_2022,github.com/SamirNepal/Li_CNN_,SamirNepal/Li_CNN_2022
TOI-836: A super-Earth and mini-Neptune transiting a nearby K-dwarf,F Hawthorn,https://eprints.keele.ac.uk/id/eprint/11994/1/2208.07328.pdf,1,https://github.com/jlillo/tpfplotter,github.com/jlillo/tpfplotter,jlillo/tpfplotter
TOI-836: A super-Earth and mini-Neptune transiting a nearby K-dwarf,F Hawthorn,https://eprints.keele.ac.uk/id/eprint/11994/1/2208.07328.pdf,11,https://github.com/oscaribv/fancy-massradius-plot,github.com/oscaribv/fancy-massradius-plot,oscaribv/fancy-massradius-plot
Rumination and inhibition in task switching: No evidence for an association,JA Grange,https://eprints.keele.ac.uk/id/eprint/11903/1/manuscript.pdf,24,https://github.com/ankitrohatgi/WebPlotDigitizer),github.com/ankitrohatgi/WebPlotDigitizer,ankitrohatgi/WebPlotDigitizer
Connecting photometric and spectroscopic granulation signals with CHEOPS and ESPRESSO,S Sulis,https://eprints.keele.ac.uk/id/eprint/12061/1/aa44223-22.pdf,2,https://github.com/pmaxted/pycheops,github.com/pmaxted/pycheops,pmaxted/pycheops
Connecting photometric and spectroscopic granulation signals with CHEOPS and ESPRESSO,S Sulis,https://eprints.keele.ac.uk/id/eprint/12061/1/aa44223-22.pdf,5,https://github.com/sousasag/ARES,github.com/sousasag/ARES,sousasag/ARES
Connecting photometric and spectroscopic granulation signals with CHEOPS and ESPRESSO,S Sulis,https://eprints.keele.ac.uk/id/eprint/12061/1/aa44223-22.pdf,8,https://github.com/grd349/ChaplinFilter,github.com/grd349/ChaplinFilter,grd349/ChaplinFilter
TOI-969: a late-K dwarf with a hot mini-Neptune in the desert and an eccentric cold Jupiter,J Lillo-Box,https://eprints.keele.ac.uk/id/eprint/12158/1/aa43879-22.pdf,1,https://github.com/jlillo/tpfplotter,github.com/jlillo/tpfplotter,jlillo/tpfplotter
TOI-969: a late-K dwarf with a hot mini-Neptune in the desert and an eccentric cold Jupiter,J Lillo-Box,https://eprints.keele.ac.uk/id/eprint/12158/1/aa43879-22.pdf,3,https://github.com/arjunsavel/SImMER,github.com/arjunsavel/SImMER,arjunsavel/SImMER
TOI-969: a late-K dwarf with a hot mini-Neptune in the desert and an eccentric cold Jupiter,J Lillo-Box,https://eprints.keele.ac.uk/id/eprint/12158/1/aa43879-22.pdf,4,https://github.com/sousasag/ARES,github.com/sousasag/ARES,sousasag/ARES
TOI-969: a late-K dwarf with a hot mini-Neptune in the desert and an eccentric cold Jupiter,J Lillo-Box,https://eprints.keele.ac.uk/id/eprint/12158/1/aa43879-22.pdf,5,https://github.com/RuthAngus/stardate,github.com/RuthAngus/stardate,RuthAngus/stardate
TOI-969: a late-K dwarf with a hot mini-Neptune in the desert and an eccentric cold Jupiter,J Lillo-Box,https://eprints.keele.ac.uk/id/eprint/12158/1/aa43879-22.pdf,8,https://github.com/exord/bayev.,github.com/exord/bayev,exord/bayev
