title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Have I got the power? Analysing and reporting statistical power in HRI,M.E Bartlett,https://researchspace.bathspa.ac.uk/15009/1/15009.pdf,13,https://github.com/heliosdrm/pwr.,github.com/heliosdrm/pwr,heliosdrm/pwr
Project knole: an autocosmic approach to authoring resonant computational characters,R.P Sherman,https://researchspace.bathspa.ac.uk/14392/1/14392.pdf,217,https://github.com/bonfiredog/knole-latest,github.com/bonfiredog/knole-latest,bonfiredog/knole-latest
Project knole: an autocosmic approach to authoring resonant computational characters,R.P Sherman,https://researchspace.bathspa.ac.uk/14392/1/14392.pdf,268,https://github.com/bonfiredog/blackcrownproject,github.com/bonfiredog/blackcrownproject,bonfiredog/blackcrownproject
'Stitched up' in the 'Conversengine': using expressive processing and multimodal languages to create a character-driven interactive digital narrative,C Wilks,https://researchspace.bathspa.ac.uk/14344/1/14344.pdf,118,https://github.com/sequitur/undum,github.com/sequitur/undum,sequitur/undum
'Stitched up' in the 'Conversengine': using expressive processing and multimodal languages to create a character-driven interactive digital narrative,C Wilks,https://researchspace.bathspa.ac.uk/14344/1/14344.pdf,120,https://github.com/KasumiL5x/novella,github.com/KasumiL5x/novella,KasumiL5x/novella
'Stitched up' in the 'Conversengine': using expressive processing and multimodal languages to create a character-driven interactive digital narrative,C Wilks,https://researchspace.bathspa.ac.uk/14344/1/14344.pdf,138,https://github.com/InfiniteAmmoInc/Yarn,github.com/InfiniteAmmoInc/Yarn,InfiniteAmmoInc/Yarn
'Stitched up' in the 'Conversengine': using expressive processing and multimodal languages to create a character-driven interactive digital narrative,C Wilks,https://researchspace.bathspa.ac.uk/14344/1/14344.pdf,138,https://github.com/inkle/ink,github.com/inkle/ink,inkle/ink
'Stitched up' in the 'Conversengine': using expressive processing and multimodal languages to create a character-driven interactive digital narrative,C Wilks,https://researchspace.bathspa.ac.uk/14344/1/14344.pdf,150,https://github.com/thesecretlab/YarnSpinner,github.com/thesecretlab/YarnSpinner,thesecretlab/YarnSpinner
Real world risk in speculative fiction: how can cognitive poetics be applied to the design of sound-led text games which incorporate difficult information?,A Bown,https://researchspace.bathspa.ac.uk/14355/1/14355.pdf,152,https://github.com/daterre/Cradle,github.com/daterre/Cradle,daterre/Cradle
What can you see? Identifying cues on internal states from the movements of natural social interactions,M.E Bartlett,https://researchspace.bathspa.ac.uk/15014/1/15014.pdf,3,https://github.com/CMU-Perceptual-Computing-Lab/openpose/,github.com/CMU-Perceptual-Computing-Lab/openpose,CMU-Perceptual-Computing-Lab/openpose
What can you see? Identifying cues on internal states from the movements of natural social interactions,M.E Bartlett,https://researchspace.bathspa.ac.uk/15014/1/15014.pdf,8,https://github.com/EducationalTestingService/factor_analyzer,github.com/EducationalTestingService/factor_analyzer,EducationalTestingService/factor_analyzer
What can you see? Identifying cues on internal states from the movements of natural social interactions,M.E Bartlett,https://researchspace.bathspa.ac.uk/15014/1/15014.pdf,11,https://github.com/severin-lemaignan/pinsoro-kinematics-,github.com/severin-lemaignan/pinsoro-kinematics-,severin-lemaignan/pinsoro-kinematics
"A creative approach to reducing ambiguity in
scenario-based software architecture analysis",X Wu,https://researchspace.bathspa.ac.uk/9943/1/9943.pdf,2,https://github.com/BreezeCSA/Breeze,github.com/BreezeCSA/Breeze,BreezeCSA/Breeze
Appraising the impact and role of platform models and Government as a Platform (GaaP) in UK Government public service reform: towards a Platform Assessment Framework (PAF),A Brown,https://researchspace.bathspa.ac.uk/9632/1/9632.pdf,27,https://github.com/alphagov/Government-service-design-,github.com/alphagov/Government-service-design-,alphagov/government-service-design-manual
ANG - a combination of Apriori and graph computing techniques for frequent itemsets mining,R Zhang,https://researchspace.bathspa.ac.uk/9490/1/9490.pdf,8,https://github.com/solitaryreaper/HadoopApriori,github.com/solitaryreaper/HadoopApriori,solitaryreaper/HadoopApriori
