title,author_for_reference,pdf_url,page_no,domain_url,pattern_cleaned_url,github_user_cleaned_url
Co-designing an Embodied e-Coach With Older Adults: The Tangible Coach Journey,Mira El Kamali,https://shura.shu.ac.uk/31681/1/Dulake-CoDesigningAnEmbodiesECoach%28VoR%29.pdf,24,https://github.com/mirakamali/tangiblecoach.git,github.com/mirakamali/tangiblecoach,mirakamali/tangiblecoach
"Mapping age- and sex-specific HIV prevalence in adults in sub-Saharan Africa, 2000–2018",Emily Haeuser,https://shura.shu.ac.uk/31185/2/12916_2022_2639_MOESM1_ESM.pdf,3,https://github.com/ihmeuw/lbd,github.com/ihmeuw/lbd,ihmeuw/lbd
"Machine learning-based predictions of gamma passing rates for virtual specific-plan verification based on modulation maps, monitor unit profiles, and composite dose images",Paulo Quintero,https://shura.shu.ac.uk/31122/1/pdf.pdf,12,https://github.com/pquinterome/MCS-calculation,github.com/pquinterome/MCS-calculation,pquinterome/MCS-calculation
Estimations of Child Linguistic Productivity Controlling for Vocabulary and Sample Size,Jose Javier Aguado Orea,https://shura.shu.ac.uk/30736/9/Aguado-Orea-EstimationsOfChildLinguisticProductivity%28VoR%29.pdf,6,https://github.com/JaviAgua/EsLiPro.,github.com/JaviAgua/EsLiPro,JaviAgua/EsLiPro
Unintended bias evaluation: an analysis of hate speech detection and gender bias mitigation on social media using ensemble learning.,Francimara Nascimento,https://shura.shu.ac.uk/30005/1/Da%20Costa-Abreu-UnintendedBiasEvaluation%28AM%29.pdf,26,https://github.com/Francimaria/Hate_speech_gender_bias,github.com/Francimaria/Hate_speech_gender_bias,Francimaria/Hate_speech_gender_bias
"Autenticação e Autorização: antigas demandas, no-vos desafios e tecnologias emergentes",Emerson Ribeiro de Mello,https://shura.shu.ac.uk/31011/1/Da%20Silva-Autentica%C3%A7%C3%A3o%20e%20Autoriza%C3%A7%C3%A3o%28VoR%29.pdf,38,https://github.com/spiffe/spiffe,github.com/spiffe/spiffe,spiffe/spiffe
"Autenticação e Autorização: antigas demandas, no-vos desafios e tecnologias emergentes",Emerson Ribeiro de Mello,https://shura.shu.ac.uk/31011/1/Da%20Silva-Autentica%C3%A7%C3%A3o%20e%20Autoriza%C3%A7%C3%A3o%28VoR%29.pdf,39,https://github.com/ghostunnel/ghostunnel,github.com/ghostunnel/ghostunnel,ghostunnel/ghostunnel
Vision-based movement recognition reveals badminton player footwork using deep learning and binocular positioning,J Luo,https://shura.shu.ac.uk/30683/1/PIIS2405844022013779.pdf,5,https://github.com/tzutalin/labelImg),github.com/tzutalin/labelImg,tzutalin/labelImg
Phoneme Analysis for Multiple Languages with Fuzzy-Based Speaker Identification,Thales Aguiar De Lima,https://shura.shu.ac.uk/30154/10/DaCostaAbreu-PhonemeAnalysisForMultipleLanguages%28VoR%29.pdf,2,https://github.com/thalesaguiar21/Fuzzy,github.com/thalesaguiar21/Fuzzy,thalesaguiar21/Fuzzy
Phoneme analysis for multiple languages with fuzzy‐based speaker identification,Thales Aguiar de Lima,https://shura.shu.ac.uk/30514/1/bme2.12078.pdf,2,https://github.com/thalesaguiar21/Fuzzy,github.com/thalesaguiar21/Fuzzy,thalesaguiar21/Fuzzy
Predicting the severity of COVID-19 patients using a multi-threaded evolutionary feature selection algorithm,A. Deniz,https://shura.shu.ac.uk/30555/1/Predicting%20the%20severity%20of%20COVID-19%20patients%20using%20a%20multi-threaded%20evolutionary%20feature%20selection%20algorithm.pdf,9,https://github.com/faycadnz/COVID-19.,github.com/faycadnz/COVID-,faycadnz/COVID-19
A Comprehensive Survey on Recent Metaheuristics for Feature Selection,Tansel Dokeroglu,https://shura.shu.ac.uk/30146/1/Manuscript.pdf,51,https://github.com/awesomedata/awesome-public-datasets,github.com/awesomedata/awesome-public-datasets,awesomedata/awesome-public-datasets
An architecture for data integrity in untrustworthy social networks,Carlos Da Silva,https://shura.shu.ac.uk/29815/1/2022-SAC-ISYS-CameraReady.pdf,3,https://github.com/webtorrent/bittorrent-dht,github.com/webtorrent/bittorrent-dht,webtorrent/bittorrent-dht
Comparative analysis of the relative fragmentation stabilities of polymorphic alpha-synuclein amyloid fibrils,Sarina Sanami,https://shura.shu.ac.uk/30158/1/biomolecules-12-00630.pdf,4,https://github.com/mtournus/Fragmentation,github.com/mtournus/Fragmentation,mtournus/Fragmentation
A machine-learning assisted review of the use of habit formation in medication adherence interventions for long-term conditions,L. Robinson,https://shura.shu.ac.uk/29685/1/17437199.2022.pdf,19,https://github.com/lkrobinson/active_learning_systematic_review/blob/,github.com/lkrobinson/active_learning_systematic_review,lkrobinson/active_learning_systematic_review
Hybrid deep feature generation for appropriate face mask use detection,Emrah Aydemir,https://shura.shu.ac.uk/29723/1/ijerph-19-01939.pdf,15,https://github.com/prajnasb/observations,github.com/prajnasb/observations,prajnasb/observations
Industrial Internet of Things security modelling using ontological methods,Muhammad Aslam Jarwar,https://shura.shu.ac.uk/30956/7/Jarwar-IndustrialInternetThings%28AM%29.pdf,1,https://github.com/brunomozza/IoTSecurityOntology/blob/master/iotsec.owl,github.com/brunomozza/IoTSecurityOntology,brunomozza/IoTSecurityOntology
"Nonlinear optimal control and its application
to a two-wheeled robot",Surapong Kokkrathoke,https://shura.shu.ac.uk/29927/1/Kokkrathoke_2021_PhD_NonlinearOptimalControl.pdf,302,"https://www.github.com/raaperrotta/symlog),",github.com/raaperrotta/symlog,raaperrotta/symlog
Analysing social media data using sentiment analysis in relation to public order,James Baldwin,https://shura.shu.ac.uk/30213/1/Baldwin_2021_PhD_AnalysingSocialMedia.pdf,275,https://github.com/mjockers/syuzhet,github.com/mjockers/syuzhet,mjockers/syuzhet
Analysing social media data using sentiment analysis in relation to public order,James Baldwin,https://shura.shu.ac.uk/30213/1/Baldwin_2021_PhD_AnalysingSocialMedia.pdf,283,https://github.com/trinker/stansent,github.com/trinker/stansent,trinker/stansent
Modelling and Simulation of Small Scale Fixed-Wing Autonomous Aerial Vehicles,Mahmud Safat Khan,https://shura.shu.ac.uk/30601/1/Khan_2021_PhD_ModellingAndSimulation.pdf,140,"https://github.com/viralpickaxe/xplane-udp,",github.com/viralpickaxe/xplane-udp,viralpickaxe/xplane-udp
Modelling and Simulation of Small Scale Fixed-Wing Autonomous Aerial Vehicles,Mahmud Safat Khan,https://shura.shu.ac.uk/30601/1/Khan_2021_PhD_ModellingAndSimulation.pdf,271,"https://github.com/havber/X-Plane-Datarefs-with-nodejs,",github.com/havber/X-Plane-Datarefs-with-nodejs,havber/X-Plane-Datarefs-with-nodejs
Assessment of Digital Pathology Imaging Biomarkers Associated with Breast Cancer Histologic Grade,Andrew Lagree,https://shura.shu.ac.uk/29222/1/curroncol-28-00366.pdf,18,https://github.com/matterport/Mask_RCNN.com,github.com/matterport/Mask_RCNN,matterport/Mask_RCNN
Investigating the use of multiple languages for crisp and fuzzy speaker identification,Marjory Da Costa Abreu,https://shura.shu.ac.uk/28009/1/multiling_speaker_id_icprs.pdf,3,https://github.com/thalesaguiar21/Gryds,github.com/thalesaguiar21/Gryds,thalesaguiar21/Gryds
Investigating the use of multiple languages for crisp and fuzzy speaker identification,Marjory Da Costa Abreu,https://shura.shu.ac.uk/28009/1/multiling_speaker_id_icprs.pdf,3,https://github.com/thalesaguiar21/Fuzzy,github.com/thalesaguiar21/Fuzzy,thalesaguiar21/Fuzzy
Atrial fibrillation detection service for stroke prevention,Murtadha Kamil Kareem Kareem,https://shura.shu.ac.uk/29479/3/Kareem_2021_PhD_Atrial_Fibrillation_Detection_.pdf,130,https://github.com/jramshur/HRVAS).,github.com/jramshur/HRVAS,jramshur/HRVAS
Charity field classification: main project report,Christopher Damm,https://shura.shu.ac.uk/29311/1/charity-classification-report.pdf,7,https://github.com/drkane/ukcat/,github.com/drkane/ukcat,drkane/ukcat
Solving patients with rare diseases through programmatic reanalysis of genome-phenome data,Leslie Matalonga,https://shura.shu.ac.uk/29063/1/41431_2021_Article_852.pdf,7,https://github.com/elastic/elasticsea,github.com/elastic/elasticsea,elastic/elasticsearch
