title,date,author_for_reference,pdf_url
A Novel Chaos-Based Privacy-Preserving Deep Learning Model for Cancer Diagnosis,2023-08-17,Mujeeb Ur Rehman,https://ray.yorksj.ac.uk/id/eprint/7874/1/IEEE_Transcation___Mujeeb_Paper___SI.pdf
A Novel Chaos-Based Privacy-Preserving Deep Learning Model for Cancer Diagnosis,2023-08-17,Mujeeb Ur Rehman,https://ray.yorksj.ac.uk/id/eprint/7874/2/indexcodes.txt
A Novel Chaos-Based Privacy-Preserving Deep Learning Model for Cancer Diagnosis,2023-08-17,Mujeeb Ur Rehman,https://ray.yorksj.ac.uk/id/eprint/7874/3/lightbox.jpg
A Novel Chaos-Based Privacy-Preserving Deep Learning Model for Cancer Diagnosis,2023-08-17,Mujeeb Ur Rehman,https://ray.yorksj.ac.uk/id/eprint/7874/4/preview.jpg
A Novel Chaos-Based Privacy-Preserving Deep Learning Model for Cancer Diagnosis,2023-08-17,Mujeeb Ur Rehman,https://ray.yorksj.ac.uk/id/eprint/7874/5/medium.jpg
A Novel Chaos-Based Privacy-Preserving Deep Learning Model for Cancer Diagnosis,2023-08-17,Mujeeb Ur Rehman,https://ray.yorksj.ac.uk/id/eprint/7874/6/small.jpg
A Novel Chaos-Based Privacy-Preserving Deep Learning Model for Cancer Diagnosis,2023-08-17,Mujeeb Ur Rehman,https://ray.yorksj.ac.uk/id/eprint/7874/7/IEEE_Transcation___Mujeeb_Paper___SI.pdf
"Gender, Politics and Change in Mountaineering : Moving Mountains",2023-06-28,,https://ray.yorksj.ac.uk/id/eprint/6234/1/Hall%2C%20Avner%20%26%20Boocock%20Gender%2C%20Politics%20and%20Tranformation%20in%20Mountaineering%20-%20A%20Mountain%20Still%20to%20Climb.pdf
"Gender, Politics and Change in Mountaineering : Moving Mountains",2023-06-28,,https://ray.yorksj.ac.uk/id/eprint/6234/3/indexcodes.txt
"Gender, Politics and Change in Mountaineering : Moving Mountains",2023-06-28,,https://ray.yorksj.ac.uk/id/eprint/6234/4/lightbox.jpg
"Gender, Politics and Change in Mountaineering : Moving Mountains",2023-06-28,,https://ray.yorksj.ac.uk/id/eprint/6234/5/preview.jpg
"Gender, Politics and Change in Mountaineering : Moving Mountains",2023-06-28,,https://ray.yorksj.ac.uk/id/eprint/6234/6/medium.jpg
"Gender, Politics and Change in Mountaineering : Moving Mountains",2023-06-28,,https://ray.yorksj.ac.uk/id/eprint/6234/7/small.jpg
"Gender, Politics and Change in Mountaineering : Moving Mountains",2023-06-28,,https://ray.yorksj.ac.uk/id/eprint/6234/8/Hall%2C%20Avner%20%26%20Boocock%20Gender%2C%20Politics%20and%20Tranformation%20in%20Mountaineering%20-%20A%20Mountain%20Still%20to%20Climb.pdf
Field Recordings from the International Aloneness Institute; Development 3,2023-05-24,Claire Hind,https://ray.yorksj.ac.uk/id/eprint/7734/1/To%20The%20Rocks%201.jpeg
Field Recordings from the International Aloneness Institute; Development 3,2023-05-24,Claire Hind,https://ray.yorksj.ac.uk/id/eprint/7734/2/To%20the%20Rocks%202.jpeg
Field Recordings from the International Aloneness Institute; Development 3,2023-05-24,Claire Hind,https://ray.yorksj.ac.uk/id/eprint/7734/3/To%20the%20Rocks%203.jpeg
Field Recordings from the International Aloneness Institute; Development 3,2023-05-24,Claire Hind,https://ray.yorksj.ac.uk/id/eprint/7734/4/lightbox.jpg
Field Recordings from the International Aloneness Institute; Development 3,2023-05-24,Claire Hind,https://ray.yorksj.ac.uk/id/eprint/7734/5/preview.jpg
Field Recordings from the International Aloneness Institute; Development 3,2023-05-24,Claire Hind,https://ray.yorksj.ac.uk/id/eprint/7734/6/medium.jpg
Field Recordings from the International Aloneness Institute; Development 3,2023-05-24,Claire Hind,https://ray.yorksj.ac.uk/id/eprint/7734/7/small.jpg
Field Recordings from the International Aloneness Institute; Development 3,2023-05-24,Claire Hind,https://ray.yorksj.ac.uk/id/eprint/7734/8/lightbox.jpg
