title,date,author_for_reference,pdf_url
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/5/JEWELS%20%26%20BONES.abstract.Loydell.pdf
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/6/Jewels%26Bones.Loydell.pdf
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/7/lightbox.jpg
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/8/preview.jpg
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/9/medium.jpg
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/10/small.jpg
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/11/lightbox.jpg
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/12/preview.jpg
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/13/medium.jpg
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/14/small.jpg
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/15/indexcodes.txt
Jewels & Bones,2024,Rupert Loydell,https://repository.falmouth.ac.uk/4789/16/indexcodes.txt
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/2/CFPJulian..jpeg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/4/lightbox.jpg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/5/preview.jpg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/6/medium.jpg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/7/small.jpg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/8/LoydellAll.HeavenlyVisionsAndHolyDreams.docx
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/9/indexcodes.txt
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/10/All%20Shall%20Be%20Well_7x10_Proof.pdf
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/11/lightbox.jpg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/12/preview.jpg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/13/medium.jpg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/14/small.jpg
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/15/indexcodes.txt
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/16/LoydellAllShallBeWell.submission.docx
poems for All Shall Be Well: An anthology of New Poems for Julian of Norwich,2023-09-01,Rupert Loydell,https://repository.falmouth.ac.uk/4788/17/indexcodes.txt
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/1/Loydell.Osiris.Mar2023.docx
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/2/Loydell.Assignment.Revolution.docx
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/3/indexcodes.txt
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/4/indexcodes.txt
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/5/Osiris96.Rupert.pdf
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/6/indexcodes.txt
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/7/lightbox.jpg
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/8/preview.jpg
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/9/medium.jpg
'Assignment' and 'Revolution',2023-07,Rupert Loydell,https://repository.falmouth.ac.uk/4889/10/small.jpg
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/5/9781848618893-COVER.2.pdf
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/6/indexcodes.txt
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/7/lightbox.jpg
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/8/preview.jpg
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/9/medium.jpg
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/10/small.jpg
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/11/rupert-loydell-age-of-destruction-and-lies-1920w.webp
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/12/AgeOfDestructionLies.RunOn.Loydell.Jan2023%20%282%29.docx
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/13/AgeOfDestructionLies.RunOn.Loydell.July2021%20%283%29.docx
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/14/indexcodes.txt
The Age of Destruction and Lies,2023-06-01,Rupert Loydell,https://repository.falmouth.ac.uk/4801/15/indexcodes.txt
"'After Two Quotes from John Ashbery', 'Loyal Inventory', 'Other Sentences', 'Endless Prospects'",2023-05-31,Rupert Loydell,https://repository.falmouth.ac.uk/4856/3/Loydell.M58sub.Feb2023.pdf
"'After Two Quotes from John Ashbery', 'Loyal Inventory', 'Other Sentences', 'Endless Prospects'",2023-05-31,Rupert Loydell,https://repository.falmouth.ac.uk/4856/4/lightbox.jpg
"'After Two Quotes from John Ashbery', 'Loyal Inventory', 'Other Sentences', 'Endless Prospects'",2023-05-31,Rupert Loydell,https://repository.falmouth.ac.uk/4856/5/preview.jpg
"'After Two Quotes from John Ashbery', 'Loyal Inventory', 'Other Sentences', 'Endless Prospects'",2023-05-31,Rupert Loydell,https://repository.falmouth.ac.uk/4856/6/medium.jpg
"'After Two Quotes from John Ashbery', 'Loyal Inventory', 'Other Sentences', 'Endless Prospects'",2023-05-31,Rupert Loydell,https://repository.falmouth.ac.uk/4856/7/small.jpg
"'After Two Quotes from John Ashbery', 'Loyal Inventory', 'Other Sentences', 'Endless Prospects'",2023-05-31,Rupert Loydell,https://repository.falmouth.ac.uk/4856/8/indexcodes.txt
Do You Believe in Magic?,2023-05-06,Rupert Loydell,https://repository.falmouth.ac.uk/4920/3/Do%20You%20Believe%20in%20Magic.Loydell.pdf
Do You Believe in Magic?,2023-05-06,Rupert Loydell,https://repository.falmouth.ac.uk/4920/4/lightbox.jpg
Do You Believe in Magic?,2023-05-06,Rupert Loydell,https://repository.falmouth.ac.uk/4920/5/preview.jpg
Do You Believe in Magic?,2023-05-06,Rupert Loydell,https://repository.falmouth.ac.uk/4920/6/medium.jpg
Do You Believe in Magic?,2023-05-06,Rupert Loydell,https://repository.falmouth.ac.uk/4920/7/small.jpg
Do You Believe in Magic?,2023-05-06,Rupert Loydell,https://repository.falmouth.ac.uk/4920/8/indexcodes.txt
Three Poems for Barbara Hepworth,2023-05-02,Rupert Loydell,https://repository.falmouth.ac.uk/4922/3/Hepworth%20poems.pdf
Three Poems for Barbara Hepworth,2023-05-02,Rupert Loydell,https://repository.falmouth.ac.uk/4922/4/lightbox.jpg
Three Poems for Barbara Hepworth,2023-05-02,Rupert Loydell,https://repository.falmouth.ac.uk/4922/5/preview.jpg
Three Poems for Barbara Hepworth,2023-05-02,Rupert Loydell,https://repository.falmouth.ac.uk/4922/6/medium.jpg
Three Poems for Barbara Hepworth,2023-05-02,Rupert Loydell,https://repository.falmouth.ac.uk/4922/7/small.jpg
Three Poems for Barbara Hepworth,2023-05-02,Rupert Loydell,https://repository.falmouth.ac.uk/4922/8/indexcodes.txt
The Train Home,2023-05-01,Rupert Loydell,https://repository.falmouth.ac.uk/4923/3/THE%20TRAIN%20HOME.Loydell.pdf
The Train Home,2023-05-01,Rupert Loydell,https://repository.falmouth.ac.uk/4923/4/lightbox.jpg
The Train Home,2023-05-01,Rupert Loydell,https://repository.falmouth.ac.uk/4923/5/preview.jpg
The Train Home,2023-05-01,Rupert Loydell,https://repository.falmouth.ac.uk/4923/6/medium.jpg
The Train Home,2023-05-01,Rupert Loydell,https://repository.falmouth.ac.uk/4923/7/small.jpg
The Train Home,2023-05-01,Rupert Loydell,https://repository.falmouth.ac.uk/4923/8/indexcodes.txt
State of Emergency,2023-04-29,Rupert Loydell,https://repository.falmouth.ac.uk/4911/3/Loydell.STATE%20OF%20EMERGENCY.pdf
State of Emergency,2023-04-29,Rupert Loydell,https://repository.falmouth.ac.uk/4911/4/lightbox.jpg
